Rk,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
1,2023-24,NBA,26.4,6-7,216,82,41.9,90.7,12.6,35.9,17.1,21.9,10.9,34.1,45.0,24.9,6.9,5.1,13.1,20.5,113.5,.462,.351,.779,92.7,.532,11.6,24.1,.188,113.5,.566
2,2022-23,NBA,26.1,6-6,216,84,41.6,90.3,12.5,35.5,17.8,22.4,10.7,33.9,44.6,24.6,7.1,4.9,13.2,20.3,113.5,.461,.351,.794,96.1,.530,11.7,24.0,.197,113.5,.566
3,2021-22,NBA,26.1,6-6,215,87,39.9,87.6,12.8,36.2,18.5,23.6,9.8,34.1,43.9,23.9,7.4,4.8,14.3,22.4,111.2,.456,.355,.785,95.5,.529,12.8,22.3,.212,111.2,.567
4,2020-21,NBA,26.1,6-6,217,85,41.6,90.0,12.9,35.5,18.1,23.0,10.3,34.7,45.0,22.8,6.9,4.6,12.6,21.2,114.3,.462,.364,.786,96.1,.534,11.2,22.8,.201,114.3,.571
5,2019-20,NBA,26.1,6-6,218,83,39.4,86.3,13.3,36.9,19.1,24.2,8.9,34.9,43.8,23.2,7.1,4.3,14.2,22.1,111.3,.457,.360,.788,97.6,.534,12.8,20.4,.221,111.3,.574
6,2018-19,NBA,26.3,6-6,219,82,39.3,88.8,11.6,33.6,19.8,25.2,10.4,35.6,46.0,23.5,7.2,5.0,13.1,22.7,110.0,.443,.345,.784,96.9,.508,11.6,22.7,.223,110.0,.551
7,2017-18,NBA,26.4,6-7,220,82,40.0,87.8,11.0,31.2,17.9,23.4,9.6,35.1,44.7,22.7,7.6,5.0,13.8,21.6,108.9,.456,.351,.765,95.4,.518,12.3,21.4,.204,108.9,.555
8,2016-17,NBA,26.6,6-7,221,79,40.4,87.8,11.0,30.5,19.4,25.0,10.2,33.6,43.8,23.3,7.9,4.9,14.0,21.8,111.3,.460,.361,.776,94.9,.523,12.4,23.2,.221,111.3,.563
9,2015-16,NBA,26.7,6-7,222,86,39.1,88.8,9.8,27.5,18.8,25.2,11.2,34.7,45.9,21.3,7.8,5.3,14.1,22.5,106.7,.440,.354,.747,93.0,.495,12.4,24.4,.212,106.7,.534
10,2014-15,NBA,26.7,6-7,223,81,38.5,88.5,9.2,26.7,19.0,26.2,11.5,35.6,47.1,22.8,7.9,5.6,14.1,22.9,105.3,.435,.344,.725,94.4,.487,12.4,24.5,.214,105.3,.526
11,2013-14,NBA,26.5,6-7,223,89,39.7,87.4,8.8,24.4,20.6,26.9,11.2,33.7,44.9,21.6,7.7,4.8,14.5,24.0,108.7,.455,.358,.763,90.6,.505,12.8,24.9,.235,108.7,.548
12,2012-13,NBA,26.7,6-7,223,85,38.6,87.4,7.8,22.7,19.9,26.5,11.5,34.0,45.5,21.2,7.8,5.3,15.2,24.4,104.8,.441,.344,.751,89.5,.486,13.3,25.4,.227,104.8,.529
13,2011-12,NBA,26.6,6-7,223,84,38.6,88.0,6.6,19.8,19.9,26.4,11.9,34.5,46.4,20.5,8.1,6.1,15.0,23.6,103.6,.438,.333,.754,89.0,.476,13.1,25.6,.226,103.6,.520
14,2010-11,NBA,26.6,6-7,223,81,38.3,87.2,6.9,20.2,22.5,29.1,12.3,33.5,45.8,20.8,7.9,6.1,15.2,24.2,106.0,.439,.341,.774,87.8,.478,13.2,26.9,.258,106.0,.529
15,2009-10,NBA,26.6,6-7,222,82,39.2,86.6,7.4,21.2,22.7,30.2,11.8,33.1,44.9,21.6,7.4,5.5,14.6,25.9,108.6,.453,.349,.752,89.7,.496,12.8,26.3,.262,108.6,.543
16,2008-09,NBA,26.6,6-7,221,85,38.9,86.1,7.7,21.5,22.3,29.3,11.0,33.3,44.3,21.2,7.9,5.3,14.7,25.3,107.7,.451,.357,.760,88.7,.496,13.0,24.9,.259,107.7,.544
17,2007-08,NBA,26.8,6-7,220,86,39.1,87.9,6.9,19.9,22.3,29.6,12.5,33.5,46.0,22.4,7.4,5.6,14.5,25.7,107.4,.444,.350,.755,88.0,.484,12.6,27.2,.254,107.4,.532
18,2006-07,NBA,26.6,6-7,219,79,38.1,86.2,7.1,20.4,21.5,29.0,12.4,33.5,45.9,21.7,7.9,4.9,16.1,24.7,104.9,.442,.350,.743,89.5,.483,14.0,27.0,.250,104.9,.530
19,2005-06,NBA,26.5,6-7,220,89,39.3,85.6,6.7,19.1,23.0,30.3,11.5,32.9,44.4,20.4,7.0,4.7,15.1,26.5,108.2,.459,.349,.758,89.2,.498,13.2,25.9,.268,108.2,.547
20,2004-05,NBA,26.9,6-7,220,84,39.3,87.8,6.8,19.1,22.2,29.8,13.1,32.7,45.8,20.9,7.6,6.1,15.2,26.0,107.7,.448,.357,.746,89.3,.487,13.1,28.7,.253,107.7,.534
,,,,,,,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
21,2003-04,NBA,27.0,6-7,220,82,36.3,86.4,5.7,17.6,20.5,28.3,12.8,34.8,47.6,22.0,8.8,5.6,16.8,26.1,98.8,.421,.324,.723,88.4,.454,14.5,27.0,.237,98.8,.500
22,2002-03,NBA,27.2,6-7,219,88,38.0,87.1,6.6,18.7,22.5,29.6,13.0,33.5,46.5,22.1,8.0,5.4,15.7,26.6,105.1,.436,.355,.761,90.3,.474,13.6,27.9,.259,105.1,.525
23,2001-02,NBA,27.4,6-7,218,71,37.7,87.5,6.1,18.2,21.7,29.2,13.0,34.2,47.2,21.6,8.2,5.7,15.4,26.0,103.3,.431,.336,.742,90.5,.466,13.3,27.5,.248,103.3,.514
24,2000-01,NBA,27.7,6-7,216,71,38.4,89.6,5.9,16.6,21.8,28.8,14.1,34.1,48.2,22.5,8.1,6.2,14.9,25.3,104.6,.429,.357,.757,89.3,.462,12.7,29.3,.244,104.6,.511
25,1999-00,NBA,27.8,6-7,216,75,38.1,87.5,5.9,16.7,22.1,30.0,12.6,34.1,46.7,22.3,7.7,5.5,14.8,27.5,104.2,.436,.352,.737,87.8,.469,12.8,27.0,.252,104.2,.517
26,1998-99,NBA,27.9,6-7,215,66,36.9,86.8,5.1,15.9,22.9,30.8,13.2,33.4,46.6,21.7,9.0,5.4,16.1,28.3,101.8,.425,.320,.744,85.7,.455,13.8,28.4,.264,101.8,.508
27,1997-98,NBA,27.7,6-7,214,71,38.6,86.0,5.6,16.2,22.8,31.4,13.1,32.3,45.5,23.5,8.7,5.4,16.1,28.2,105.6,.449,.344,.725,85.9,.481,13.9,28.9,.265,105.6,.529
28,1996-97,NBA,27.7,6-7,213,72,38.3,86.8,7.6,22.0,23.2,30.6,13.5,32.6,46.1,22.8,8.4,5.3,16.1,26.7,107.4,.441,.347,.758,87.2,.485,13.9,29.3,.267,107.4,.535
29,1995-96,NBA,27.5,6-7,213,68,39.1,86.0,7.0,19.9,21.6,30.2,13.6,31.2,44.8,24.0,8.8,5.0,17.2,26.8,106.8,.455,.353,.715,87.1,.495,14.7,30.3,.251,106.8,.538
30,1994-95,NBA,27.2,6-7,212,73,39.6,85.9,7.4,19.7,24.1,32.7,13.4,31.2,44.6,24.8,7.9,5.4,16.0,28.2,110.5,.460,.375,.736,89.0,.504,13.7,30.1,.280,110.5,.551
31,1993-94,NBA,27.2,6-7,211,77,38.7,88.1,4.7,13.9,22.8,30.8,15.0,31.7,46.7,24.3,8.7,6.2,16.5,26.7,105.0,.439,.341,.739,88.6,.466,14.0,32.1,.258,105.0,.516
32,1992-93,NBA,27.1,6-7,211,76,41.6,89.5,3.7,10.5,20.9,28.2,14.7,30.4,45.1,25.4,8.8,6.2,16.0,25.0,107.9,.465,.355,.742,90.8,.486,13.6,32.6,.234,107.9,.530
33,1991-92,NBA,27.2,6-7,209,73,41.8,88.1,3.0,8.9,24.7,32.1,14.2,29.2,43.5,25.8,8.3,5.6,15.3,26.1,111.4,.475,.337,.769,91.7,.492,13.0,32.8,.280,111.4,.545
34,1990-91,NBA,27.2,6-7,209,68,41.5,87.3,2.9,9.1,25.0,32.0,13.3,30.1,43.4,24.7,8.0,4.6,14.9,25.8,110.9,.475,.323,.780,93.3,.492,12.8,30.6,.286,110.9,.547
35,1989-90,NBA,27.1,6-7,208,72,41.3,87.1,2.7,8.4,24.1,31.7,13.8,29.7,43.5,25.0,8.0,5.1,15.8,25.8,109.4,.475,.316,.761,95.9,.490,13.5,31.7,.277,109.4,.542
36,1988-89,NBA,26.9,6-7,208,62,41.4,88.4,3.2,10.2,24.1,31.2,14.5,30.5,45.0,25.3,7.7,5.1,15.3,26.0,110.2,.469,.314,.773,94.4,.487,13.0,32.3,.273,110.2,.539
37,1987-88,NBA,26.9,6-7,209,80,42.6,89.2,1.9,6.1,23.3,30.0,14.6,29.7,44.3,25.8,7.6,5.1,15.2,25.1,110.4,.478,.314,.777,94.0,.488,13.0,32.9,.262,110.4,.539
38,1986-87,NBA,26.6,6-7,209,71,42.6,87.8,1.7,5.6,25.2,32.6,14.1,29.0,43.1,25.7,7.5,5.5,14.9,26.1,112.1,.485,.307,.773,97.5,.495,12.8,32.6,.287,112.1,.548
39,1985-86,NBA,26.8,6-7,208,68,43.3,88.4,1.4,4.4,22.7,30.3,14.5,28.8,43.3,26.3,8.2,5.5,15.6,24.9,110.6,.489,.319,.749,99.0,.497,13.3,33.4,.257,110.6,.543
40,1984-85,NBA,26.4,6-7,207,68,42.6,86.8,1.1,4.0,23.8,30.8,14.1,28.4,42.5,25.8,8.6,5.2,16.5,25.4,110.1,.491,.273,.772,103.5,.497,14.1,33.1,.274,110.1,.549
,,,,,,,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
41,1983-84,NBA,26.4,6-7,206,79,41.9,87.0,1.0,3.5,23.9,31.2,14.3,28.8,43.0,24.6,7.8,5.2,16.5,27.0,108.7,.482,.279,.767,97.9,.487,14.1,33.1,.275,108.7,.540
42,1982-83,NBA,26.1,6-7,205,43,42.8,89.2,0.7,2.6,19.8,26.5,14.6,30.0,44.6,26.8,7.9,5.9,16.5,24.2,106.1,.480,.252,.747,100.3,.484,14.0,32.8,.222,106.1,.526
43,1981-82,NBA,26.2,6-7,205,47,42.3,89.4,0.5,2.3,21.2,28.6,15.8,28.8,44.6,26.2,8.3,6.6,17.0,26.4,106.3,.473,.239,.742,98.4,.476,14.3,35.3,.237,106.3,.521
44,1980-81,NBA,26.2,6-7,205,53,41.4,88.1,0.5,2.2,21.5,28.9,14.9,29.5,44.4,24.1,8.5,6.0,17.1,25.4,104.7,.470,.220,.742,95.2,.473,14.5,33.6,.244,104.7,.519
45,1979-80,NBA,26.4,6-6,204,48,41.8,88.7,0.9,3.7,20.2,26.4,14.7,29.6,44.3,25.7,8.8,5.6,17.4,24.5,104.7,.471,.256,.765,98.4,.476,14.7,33.2,.228,104.7,.522
46,1978-79,NBA,26.3,6-6,203,53,41.0,89.6,,,20.5,27.9,15.8,29.9,45.7,23.4,8.1,5.9,17.2,25.6,102.5,.457,,.735,101.4,.457,14.4,34.5,.229,102.5,.503
47,1977-78,NBA,26.2,6-6,204,51,41.3,89.3,,,20.4,27.8,15.2,30.1,45.3,23.1,7.5,5.4,16.8,25.2,103.0,.462,,.735,103.3,.462,14.2,33.5,.228,103.0,.507
48,1976-77,NBA,26.2,6-6,204,53,40.2,86.0,,,19.6,26.7,13.9,30.3,44.1,22.9,8.5,4.9,18.7,24.4,100.0,.468,,.732,105.0,.468,16.1,31.4,.228,100.0,.511
49,1975-76,NBA,26.5,6-6,204,50,39.6,85.8,,,20.4,27.0,13.4,30.2,43.6,21.6,7.6,4.8,18.6,25.7,99.5,.461,,.756,102.3,.461,16.0,30.8,.238,99.5,.509
50,1974-75,NBA,26.7,6-6,203,47,39.4,86.3,,,19.1,25.5,13.1,31.7,44.8,21.4,8.5,4.5,18.2,24.2,97.8,.456,,.751,102.5,.456,15.7,29.2,.222,97.8,.502
51,1973-74,NBA,26.9,6-6,205,41,40.3,89.5,,,16.4,21.2,13.4,32.6,46.0,21.9,6.4,3.6,17.4,22.5,97.1,.451,,.776,100.0,.451,15.0,29.2,.184,97.1,.491
52,1972-73,NBA,26.7,6-6,205,41,,,,,,,,,,,,,,,,.451,,.740,,.451,,,.188,,.490
53,1971-72,NBA,26.6,6-6,206,37,,,,,,,,,,,,,,,,.446,,.762,,.446,,,.245,,.498
54,1970-71,NBA,26.6,6-6,205,40,,,,,,,,,,,,,,,,.445,,.721,,.445,,,.225,,.490
55,1969-70,NBA,26.8,6-6,205,40,,,,,,,,,,,,,,,,.455,,.722,,.455,,,.219,,.498
56,1968-69,NBA,26.9,6-6,207,39,,,,,,,,,,,,,,,,.431,,.695,,.431,,,.246,,.480
57,1967-68,NBA,26.8,6-6,206,40,,,,,,,,,,,,,,,,.446,,.700,,.446,,,.263,,.496
58,1966-67,NBA,26.6,6-6,206,31,,,,,,,,,,,,,,,,.424,,.719,,.424,,,.247,,.476
59,1965-66,NBA,26.6,6-6,207,27,,,,,,,,,,,,,,,,.440,,.748,,.440,,,.282,,.498
60,1964-65,NBA,26.4,6-6,208,26,,,,,,,,,,,,,,,,.429,,.748,,.429,,,.272,,.487
,,,,,,,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Per 100 Team Possessions,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
61,1963-64,NBA,26.4,6-6,207,27,,,,,,,,,,,,,,,,.420,,.716,,.420,,,.268,,.475
62,1962-63,NBA,26.3,6-6,205,29,,,,,,,,,,,,,,,,.434,,.756,,.434,,,.295,,.497
63,1961-62,NBA,26.4,6-5,205,29,,,,,,,,,,,,,,,,.411,,.748,,.411,,,.269,,.471
64,1960-61,NBA,26.4,6-5,205,25,,,,,,,,,,,,,,,,.403,,.736,,.403,,,.274,,.464
65,1959-60,NBA,26.5,6-5,204,25,,,,,,,,,,,,,,,,.402,,.730,,.402,,,.238,,.455
66,1958-59,NBA,26.4,6-5,202,22,,,,,,,,,,,,,,,,.398,,.783,,.398,,,.286,,.466
67,1957-58,NBA,26.8,6-5,202,21,,,,,,,,,,,,,,,,.368,,.744,,.368,,,.289,,.438
68,1956-57,NBA,26.2,6-5,201,17,,,,,,,,,,,,,,,,.376,,.724,,.376,,,.292,,.443
69,1955-56,NBA,26.3,6-5,200,21,,,,,,,,,,,,,,,,.382,,.732,,.382,,,.337,,.458
70,1954-55,NBA,26.7,6-5,197,21,,,,,,,,,,,,,,,,.381,,.756,,.381,,,.349,,.461
71,1953-54,NBA,26.4,6-4,197,23,,,,,,,,,,,,,,,,.389,,.717,,.389,,,.394,,.472
72,1952-53,NBA,26.4,6-4,196,23,,,,,,,,,,,,,,,,.366,,.725,,.366,,,.406,,.457
73,1951-52,NBA,26.3,6-4,195,25,,,,,,,,,,,,,,,,.393,,.745,,.393,,,.392,,.478
74,1950-51,NBA,,,,26,,,,,,,,,,,,,,,,.376,,.723,,.376,,,.308,,.446
75,1949-50,NBA,,,,30,,,,,,,,,,,,,,,,.344,,.732,,.344,,,.343,,.427
76,1948-49,BAA,,,,20,,,,,,,,,,,,,,,,.329,,.717,,.329,,,.306,,.405
77,1947-48,BAA,,,,21,,,,,,,,,,,,,,,,.272,,.701,,.272,,,.244,,.342
78,1946-47,BAA,,,,19,,,,,,,,,,,,,,,,.265,,.686,,.265,,,.182,,.319
